text jména;četnost
EDMUND;251
YEVHEN;249
DAREK;247
ERVIN;246
OSVALD;246
TOMASZ;245
DUC;242
VILIBALD;242
ARNOLD;238
MAROŠ;237
TUNG;236
BOŽETĚCH;235
YURY;234
ALADÁR;232
DIMITRIJ;230
KLAUS;228
NIKOLAY;228
DÁVID;221
DENNIS;221
MIKOLÁŠ;221
ADRIÁN;215
RONALD;215
TADEUSZ;211
ATTILA;208
HORYMÍR;206
LEV;206
RYSZARD;206
ANTONIO;205
ELEMÍR;205
HENRYK;205
JANUSZ;204
WALDEMAR;203
TRUNG;200
VASILE;199
BINH;197
JERZY;195
MARK;195
ZORAN;190
LUKAS;189
HUY;188
TOMISLAV;188
JERONÝM;187
ANDRÉ;186
YOSYP;186
MAKSYM;185
SLÁVEK;185
EVGENY;183
ERHARD;182
JILJÍ;182
LUDEVÍT;179
ARTEM;178
DIETER;178
JURIJ;178
EMERICH;177
FEDOR;177
SERGII;177
ALEXANDRU;175
QUANG;175
EGON;174
MIHAIL;174
GŰNTER;172
RAFAEL;172
REINHOLD;172
DOBROMIL;171
MOHAMED;171
STANISLAW;171
PAUL;170
EVALD;169
REINHARD;169
HOANG;168
LYUBOMYR;168
YEVHENIY;168
MYRON;167
SERGIU;164
VALENTYN;164
HIEU;163
NICOLAE;163
JAROLÍM;161
DENYS;160
FRANZ;160
WILLIAM;160
TIEN;159
AUGUSTÍN;158
MAXMILIAN;158
ALEKSANDAR;157
RAIMUND;157
VERNER;157
SVATOMÍR;155
VIET;155
IOSIF;154
ALIAKSANDR;153
HA;153
DARIUSZ;152
VAVŘINEC;152
DAMIAN;151
IVOŠ;151
GHEORGHE;150
BORYS;149
BENJAMÍN;148
GEORGIOS;148
KONRÁD;148
JANIS;147
NIKITA;147
ALI;146
DRAGAN;146
ANATOLIJ;145
ELIÁŠ;145
MARIUSZ;144
SERGHEI;144
MYKHAILO;142
LEŠEK;141
FRANK;140
TOAN;140
RAJMUND;139
GEORGE;138
GRZEGORZ;138
JOHANN;138
HARALD;137
FLORIÁN;136
VINH;136
LESZEK;135
ĽUDOVIT;135
MARKUS;135
GORAN;134
PŘEMEK;134
ZLATKO;134
JOHN;133
BOREK;132
ILLYA;132
DUONG;131
