text příjmení;četnost
KOŠŤÁL;1902
KŘÍŽEK;1898
KUPKA;1898
HRADIL;1880
NEUMANN;1876
KOZEL;1875
MORÁVEK;1874
VÍT;1870
KOS;1855
KUBÍN;1850
SMOLÍK;1847
JONÁŠ;1844
POPELKA;1830
BOČEK;1829
VÁGNER;1829
KUBEŠ;1825
RYŠAVÝ;1825
MALINA;1823
JANÍK;1822
HRDINA;1820
HOUDEK;1811
LORENC;1811
HORA;1807
ŠUBRT;1807
BALOG;1804
BUCHTA;1799
MARTINEC;1790
ELIÁŠ;1788
PRAŽÁK;1780
PEKÁREK;1769
SKALICKÝ;1766
HLOUŠEK;1764
KOLAŘÍK;1763
ČÁP;1762
LANG;1759
ŠAFRÁNEK;1759
ŠIMŮNEK;1751
SEIDL;1750
KAFKA;1743
ČERVEŇÁK;1736
VACULÍK;1736
JANÍČEK;1735
KŘENEK;1726
VALÁŠEK;1724
LACINA;1714
ZELENÝ;1709
POLÍVKA;1698
PRŮŠA;1698
GÁBOR;1697
MUCHA;1694
ZEMÁNEK;1694
NEJEDLÝ;1685
VYSKOČIL;1685
JANKŮ;1683
SOCHOR;1679
KRÁLÍK;1677
VALA;1675
ZELINKA;1671
NEDVĚD;1668
BLAHA;1667
PLACHÝ;1657
ŠMEJKAL;1636
SMUTNÝ;1635
BAREŠ;1631
HUDEČEK;1631
MAŘÍK;1630
SAMEK;1629
CHLÁDEK;1627
HOLÍK;1621
DOUBEK;1612
DOČKAL;1610
SCHNEIDER;1610
HOMOLA;1609
ŠESTÁK;1600
BÖHM;1595
KUBA;1593
DEMETER;1584
BRÁZDA;1578
LUDVÍK;1575
SOJKA;1574
HOMOLKA;1573
KLEIN;1573
KOSTKA;1572
TOMÁNEK;1569
PILAŘ;1564
VOTAVA;1561
HYNEK;1559
PECHA;1556
ANTOŠ;1540
MENŠÍK;1540
HUSÁK;1536
VERNER;1535
PRCHAL;1534
KOUBEK;1531
VANĚČEK;1530
KARAS;1527
HERMAN;1526
HLAVATÝ;1525
KOLÁČEK;1525
ČONKA;1521
JAKUBEC;1521
STUCHLÍK;1521
MATULA;1518
SLABÝ;1515
MACHALA;1503
KAŠPÁREK;1496
VONDRA;1494
BUČEK;1490
MATUŠKA;1490
PLAČEK;1489
FERENC;1488
DANIEL;1485
SOKOL;1475
VOJÁČEK;1475
CHOVANEC;1473
ZIMA;1471
KOHOUTEK;1470
KOTEK;1469
VOJTA;1469
POLÁCH;1468
JANOVSKÝ;1467
HÁLA;1464
KOUŘIL;1462
ZBOŘIL;1462
ŠIMEČEK;1457
ZÁMEČNÍK;1451
VALEŠ;1438
KLEMENT;1437
CHYTIL;1434
DOLEJŠ;1433
ZÁRUBA;1430
SCHWARZ;1426
MIKULA;1419
CÍSAŘ;1416
KUDRNA;1410
DUBSKÝ;1408
KREJČÍK;1407
SLAVÍČEK;1407
SPÁČIL;1407
HRON;1398
ČIHÁK;1397
POSPÍCHAL;1397
GABRIEL;1396
PAŘÍZEK;1396
KRUPIČKA;1395
WOLF;1391
ŠAFÁŘ;1390
DUDEK;1387
VYBÍRAL;1385
HORVÁT;1384
MARŠÁLEK;1377
FRANĚK;1372
CIBULKA;1370
ŠOLC;1370
SLOVÁK;1369
JAVŮREK;1368
FRANK;1362
TOMÁŠ;1362
MUŽÍK;1361
ŠNAJDR;1354
BEZDĚK;1349
PRŮCHA;1347
HLADKÝ;1340
ŠVEJDA;1339
BAJER;1333
ČERNÍK;1326
VARGA;1320
MŰLLER;1312
SMÉKAL;1310
SYNEK;1310
BLECHA;1307
ŠUSTR;1304
VOJTĚCH;1303
ŠAFAŘÍK;1302
SPURNÝ;1301
PELC;1297
FISCHER;1296
KVASNIČKA;1294
RAŠKA;1294
KANTOR;1293
MÍKA;1289
ZACH;1289
ŠVÁB;1286
PŘÍHODA;1285
HRNČÍŘ;1282
KNOTEK;1282
BEDNAŘÍK;1281
TRČKA;1273
CHMELAŘ;1272
PAZDERA;1271
STUDENÝ;1270
GAJDOŠ;1268
KAPLAN;1268
FRIDRICH;1266
SVATOŠ;1265
SEDLÁŘ;1264
BROŽEK;1263
PETRÁŠ;1260
JANSA;1259
SOVA;1258
DOBIÁŠ;1257
JANČÍK;1257
HENDRYCH;1254
WAGNER;1254
HAŠEK;1252
ŠINDLER;1247
VANČURA;1246
ZÍKA;1241
VONDRÁK;1235
PROVAZNÍK;1224
JAHODA;1222
VOLNÝ;1221
HRBEK;1219
ŠVEHLA;1216
BOBEK;1213
DOČEKAL;1213
BALCAR;1211
CHMELÍK;1211
ANDĚL;1210
PÁTEK;1210
ŽIGA;1208
ZIKMUND;1207
ŠTEFAN;1206
ŠIŠKA;1188
TÁBORSKÝ;1188
JANÁK;1185
VOJTÍŠEK;1185
FOLTÝN;1184
SUK;1178
ZLÁMAL;1178
BRADÁČ;1177
DVORSKÝ;1173
FUČÍK;1173
LANDA;1171
HRŮZA;1169
KINDL;1167
BRYCHTA;1163
HEŘMAN;1161
MATOUŠ;1160
