text příjmení;četnost
ČERVENÁ;2535
KOUDELKOVÁ;2534
KARÁSKOVÁ;2532
PŘIKRYLOVÁ;2524
VEČEŘOVÁ;2514
BURDOVÁ;2507
MIKEŠOVÁ;2484
PÁNKOVÁ;2476
VLASÁKOVÁ;2473
BOHÁČOVÁ;2472
VONDRÁČKOVÁ;2469
HOFMANOVÁ;2456
BARTOŇOVÁ;2455
MAJEROVÁ;2455
ŠTĚRBOVÁ;2455
ŠEBKOVÁ;2451
HORKÁ;2439
MARTINKOVÁ;2430
ONDRÁČKOVÁ;2416
CHALUPOVÁ;2415
KUNCOVÁ;2409
KOCOURKOVÁ;2401
PETŘÍKOVÁ;2380
ADAMOVÁ;2378
DIVIŠOVÁ;2368
DUDOVÁ;2359
DOLEŽELOVÁ;2356
UHLÍŘOVÁ;2353
JINDROVÁ;2348
KOUBOVÁ;2339
RADOVÁ;2321
ZAJÍCOVÁ;2313
BAUEROVÁ;2312
VÁCLAVÍKOVÁ;2311
HAVRÁNKOVÁ;2303
KVAPILOVÁ;2275
KOČOVÁ;2273
ZAHRADNÍKOVÁ;2259
COUFALOVÁ;2257
MINAŘÍKOVÁ;2255
BERKOVÁ;2251
KŘÍŽKOVÁ;2241
ZAVADILOVÁ;2227
MIKOVÁ;2223
KULHÁNKOVÁ;2219
SKÁLOVÁ;2214
TRÁVNÍČKOVÁ;2206
ČEJKOVÁ;2203
FRANKOVÁ;2192
VANÍČKOVÁ;2175
MAREČKOVÁ;2174
BARTÁKOVÁ;2171
HAMPLOVÁ;2155
TUČKOVÁ;2150
ŽIŽKOVÁ;2144
KŘIVÁNKOVÁ;2138
KUBEŠOVÁ;2137
BÍLÁ;2129
HOVORKOVÁ;2129
FRANCOVÁ;2128
SMEJKALOVÁ;2125
VÍTOVÁ;2122
ŘEZÁČOVÁ;2121
FORMÁNKOVÁ;2114
DRÁBKOVÁ;2112
MELICHAROVÁ;2098
TROJANOVÁ;2097
HANZLÍKOVÁ;2096
LUKÁŠOVÁ;2094
UHROVÁ;2091
BALÁŽOVÁ;2083
ŠKODOVÁ;2082
ŠIMONOVÁ;2077
ZATLOUKALOVÁ;2075
ČERVINKOVÁ;2069
HUBÁČKOVÁ;2067
SKLENÁŘOVÁ;2065
KOCIÁNOVÁ;2060
VÁCHOVÁ;2055
KOUTNÁ;2046
PELIKÁNOVÁ;2037
DOBEŠOVÁ;2022
NEUMANNOVÁ;2022
NEČASOVÁ;2016
BLAHOVÁ;2009
KOSOVÁ;2004
ŠUBRTOVÁ;1993
KOŠŤÁLOVÁ;1991
MORÁVKOVÁ;1984
HRADILOVÁ;1978
KUBÍNOVÁ;1977
KUBOVÁ;1970
SEIDLOVÁ;1962
KOZLOVÁ;1959
MATUŠKOVÁ;1955
POPELKOVÁ;1943
HUDCOVÁ;1939
VEVERKOVÁ;1933
HOROVÁ;1930
VALOVÁ;1925
KUPKOVÁ;1923
MARTINCOVÁ;1921
SOCHOROVÁ;1914
BOČKOVÁ;1908
SMOLÍKOVÁ;1907
KOLAŘÍKOVÁ;1906
HOUDKOVÁ;1903
JANÍKOVÁ;1900
PRAŽÁKOVÁ;1900
SAMKOVÁ;1898
MALINOVÁ;1895
ELIÁŠOVÁ;1884
HRDINOVÁ;1883
RYŠAVÁ;1877
SKALICKÁ;1875
LANGOVÁ;1866
ŠAFRÁNKOVÁ;1865
SIVÁKOVÁ;1864
VÁGNEROVÁ;1860
BUCHTOVÁ;1848
LORENCOVÁ;1845
ČÁPOVÁ;1844
JONÁŠOVÁ;1843
JANÍČKOVÁ;1841
ŠIMŮNKOVÁ;1824
PEKÁRKOVÁ;1817
ŠTEFKOVÁ;1816
KAFKOVÁ;1807
PRŮŠOVÁ;1807
NEJEDLÁ;1804
KŘENKOVÁ;1798
HLOUŠKOVÁ;1794
LANGEROVÁ;1793
VALÁŠKOVÁ;1787
ZELINKOVÁ;1777
MUCHOVÁ;1766
PLACHÁ;1765
NEDVĚDOVÁ;1760
LACINOVÁ;1756
BUČKOVÁ;1752
ŠMEJKALOVÁ;1747
MAŘÍKOVÁ;1740
VACULÍKOVÁ;1739
POLÍVKOVÁ;1733
CHLÁDKOVÁ;1731
BALOGOVÁ;1729
ZELENÁ;1724
HUDEČKOVÁ;1722
BÖHMOVÁ;1720
SMUTNÁ;1720
KRÁLÍKOVÁ;1719
ZEMÁNKOVÁ;1708
ČERVEŇÁKOVÁ;1692
JANKŮ;1684
VYSKOČILOVÁ;1682
HLAVATÁ;1679
BAREŠOVÁ;1677
SCHNEIDEROVÁ;1677
SOJKOVÁ;1675
VANĚČKOVÁ;1674
HOLÍKOVÁ;1670
HYNKOVÁ;1662
BRÁZDOVÁ;1657
KARASOVÁ;1652
KOSTKOVÁ;1651
VOTAVOVÁ;1646
DOUBKOVÁ;1645
DOČKALOVÁ;1643
SOKOLOVÁ;1639
PRCHALOVÁ;1638
HOMOLOVÁ;1636
HUSÁKOVÁ;1636
KLEINOVÁ;1629
