text jména;četnost
KATARINA;495
ARNOŠTKA;491
INNA;487
SVĚTLUŠE;486
BOHUNKA;483
DAŠA;483
VALÉRIA;478
DARIA;475
LARYSA;474
ETELA;472
VLADANA;466
YULIYA;464
LARISA;452
VIRA;448
LÝDIE;444
ELLEN;443
LIANA;443
ZLATICA;442
TERESA;441
JOSEFÍNA;440
ANH;438
LJUBA;436
NORA;435
NELLA;430
ZOJA;428
JOZEFÍNA;424
VLASTISLAVA;422
RUTH;415
KVETOSLAVA;409
URŠULA;409
ARANKA;406
ZLATUŠKA;406
GANNA;402
THUY;400
VRATISLAVA;398
KATERYNA;394
VASYLYNA;394
ALINA;393
LUĎKA;393
OLEKSANDRA;386
XENIE;384
DANKA;377
OĹGA;375
FILOMENA;374
AURELIE;373
NATÁLIA;370
JITŘENKA;368
NELLY;365
ILONKA;363
BERENIKA;361
MARYANA;361
ANTONIA;360
LIDIA;359
JUSTÝNA;355
PAVLINA;354
DORIS;352
MYROSLAVA;349
TINA;348
ZOFIA;343
EDELTRAUD;340
LIDUŠKA;339
JOHANKA;337
ANNEMARIE;332
GERDA;332
KVĚTUŠKA;331
MARIJA;327
HA;325
PHUONG;325
WANDA;325
ROSALIE;322
NOEMI;320
GISELA;319
HANIČKA;317
MATILDA;316
SOFIA;316
ŽOFIA;315
INKA;314
ELLA;308
TRANG;308
VIKTORIA;307
INGE;306
ŠTEFANIA;306
ANNA-MARIE;305
LENA;305
ELVÍRA;304
ANA;303
OXANA;303
LIUDMILA;302
PETRUŠE;301
SYLVIA;301
JADWIGA;300
TATJANA;300
DORA;298
VICTORIA;296
SABRINA;294
LESYA;293
LEONTÝNA;292
EKATERINA;291
JENNIFER;291
EDITH;287
LIDIYA;286
LIDIE;285
ANASTASIA;284
AGATA;282
HOA;282
ISABELA;282
IVANNA;282
JOHANNA;282
ELIZABETH;281
NATALIJA;279
APOLENA;275
STELLA;275
PAULÍNA;274
SVĚTLUŠKA;274
SILVA;273
DANICA;271
JESIKA;269
NATALYA;269
JOSEFINA;268
URSULA;266
GITA;265
KATKA;264
ELFRIEDA;263
ALICA;262
ELFRÍDA;262
LILIYA;260
ŠTEFANIE;258
VĚRUŠKA;257
LEOPOLDINA;256
MARUŠKA;256
WALTRAUD;254
CLAUDIA;251
LUISA;249
LAN;247
EVŽENA;246
SLAVĚNA;245
HANG;244
DOUBRAVKA;242
GERLINDA;242
HANNELORE;242
ELA;241
STELA;241
CHARLOTTE;240
JOLANTA;240
REGÍNA;240
RUSLANA;240
PETRUŠKA;239
MARGARITA;238
LYDIA;236
NGA;235
VILÉMA;234
MELÁNIE;233
OLESYA;231
EVELÍNA;228
JASMÍNA;228
ELISABETH;226
JENIFER;226
ROZALIE;226
LIBUŠA;224
MICHELLE;223
ZORKA;222
ANASTASIE;221
MARUŠE;219
PAULINA;218
EWA;217
HUYEN;215
ANASTASIYA;213
HIEN;213
REBEKA;213
YANA;213
EDELTRAUDA;211
IRMGARD;211
LINH;211
LUDVIKA;211
ANTÓNIA;210
STEFANIE;208
DAGMARA;207
CHRISTINA;207
ADRIÁNA;205
DRAHUŠKA;205
ANTONINA;204
HILDEGARD;203
VERA;202
AUGUSTINA;201
BLAHOSLAVA;200
KLAUDIA;200
VIKTÓRIA;199
URSZULA;198
EMANUELA;197
LÍVIA;197
ADRIENA;195
BRIGITTA;195
JENOVEFA;195
ROSEMARIE;195
MALVÍNA;193
ROZALIA;193
ĽUBOMÍRA;192
ALEKSANDRA;191
PAMELA;191
DUNG;190
NATALIIA;189
OLUŠE;187
MAI;186
PATRICIA;186
SARA;185
ANASTÁZIA;184
LEONTINA;184
RUT;184
ILSA;183
EDELTRUDA;182
EVELINA;182
YULIA;182
CHRISTA;181
ELZBIETA;180
KHRYSTYNA;180
HENRIETA;177
THU;177
JOZEFINA;176
PETRONILA;176
TETIANA;176
THAO;176
VAN;176
YAROSLAVA;174
ZINAIDA;174
AMÉLIE;173
ANTONÍNA;173
RÁCHEL;173
LJUBOV;172
ZDĚNA;172
GRAŽYNA;170
HEDVIGA;169
HERMINA;168
JENA;168
LIDUŠE;165
SAMANTA;165
CLAUDIE;164
RAISA;164
CHARLOTTA;163
ELENI;162
ESTERA;162
GERTA;162
NATHALIE;162
PAULA;162
YVONNA;162
JANETTE;161
KATARZYNA;160
AMÁLIA;159
AUGUSTA;159
ANNELIES;158
CAROLINE;158
JUSTÍNA;158
NGOC;158
ZHANNA;158
CECÍLIA;157
JOANNA;157
CARMEN;156
HALKA;156
NADEŽDA;155
ILSE;154
LIEN;153
NHUNG;153
DUŠANA;152
MARIANNE;152
PETRONELA;152
THANH;152
AURELIA;149
LEOPOLDA;149
AGNEŠA;148
JULIÁNA;148
THI HUONG;147
NIKOLETA;146
HANH;145
VITA;145
YEN;145
ANETTA;144
CHARLOTA;144
YVONNE;143
LIUBOV;142
MALGORZATA;142
SOPHIE;142
RENÉ;141
HEDA;140
NATALI;140
GRETA;139
ELSA;138
ROSTISLAVA;138
HONG;137
RUDOLFA;137
BEATRICE;135
HANKA;134
CHRISTINE;134
THI THUY;134
ADINA;133
JOSEFKA;133
JARUŠE;132
LOAN;129
MAJA;129
OLIVIE;129
ŠTEFANA;129
MELISA;128
VITALIYA;128
DRAHOMILA;127
MARIE ANNA;127
VĚDUNKA;126
ELFRIDA;125
JULIANNA;125
MILICA;125
ALBINA;124
OLINA;124
ALICJA;123
ARNOŠTA;123
DINA;123
GRAZYNA;123
NEZJIŠTĚNO;123
VÁCLAVKA;123
OANH;122
BERNARDINA;121
ISABELLA;121
SLAVOMILA;121
SLAVKA;120
ADA;119
SAŠA;119
ALMA;118
BIBIANA;118
KORNELIE;118
MÁJA;118
STANISLAWA;118
HUE;116
MANUELA;116
ANGELINA;115
JENOVÉFA;115
VIOLETA;115
AGNIESZKA;114
ADOLFINA;113
NATALJA;113
GERLINDE;112
JANETTA;112
MARCELLA;112
TERESIE;111
ŽELMÍRA;111
ANZHELA;109
NIKITA;109
RADOVANA;109
LIA;107
LJUDMILA;107
OTÍLIA;107
NIKA;106
ULYANA;106
BOHDANKA;105
DEBORA;105
VALERIYA;105
LIUDMYLA;104
NADĚJE;104
RENÉE;104
YEVHENIYA;104
NEUVEDENO;103
SIDONIA;103
ELEONÓRA;102
INA;102
LUDVÍKA;102
NADEZDA;102
RIA;102
ADOLFA;101
ANNAMARIE;101
BĚLUŠE;101
ELŽBIETA;101
TAM;101
THI HOA;101
MIA;100
MINH;100
NELYA;100
VIKTORIJA;100
KATERINA;99
LYUDMILA;99
SAMANTHA;99
ANNELIESE;98
TATYANA;98
THI PHUONG;98
WIESLAWA;98
CECÍLIE;97
GIANG;97
STEFANIA;97
CECILIA;96
MARIIA;96
NANCY;96
TATSIANA;96
MILKA;95
SOPHIA;95
TUYET;95
GENOWEFA;94
LILIA;94
NATALLIA;94
PATRÍCIA;94
POLINA;94
DÁŠENKA;93
ELVIRA;93
FATIMA;93
LY;93
SONIA;93
BRUNHILDA;92
JASNA;92
NELLI;92
MELÁNIA;91
VERONICA;91
KAREN;90
VIVIEN;90
ZUZANNA;90
FILOMÉNA;89
HAI;89
LIDIJA;89
LUBICA;89
JINDŘICHA;88
MAŘÍ MAGDALENA;88
BIANKA;87
ELIZAVETA;87
TIMEA;87
VINCENCIE;87
CHIARA;86
IRIS;86
IVETTA;86
IVONKA;86
JULIJA;86
MARGOT;86
MIRJANA;86
VINCENCIA;86
CAROLINA;85
CRISTINA;85
EMILY;85
IRMGARDA;85
REBECCA;85
SASKIA;85
ANNETTE;84
BERNARDÍNA;84
ELFRIEDE;84
LEILA;84
MAR´YANA;84
MY;84
JEANETTE;83
LÍDA;83
RADISLAVA;83
SOFIYA;83
STEPHANIE;83
INGA;82
IRENKA;82
KAZIMIERA;82
KLEMENTINA;82
LEOKADIE;82
LINA;82
SIDÓNIA;82
THI LAN;82
AGNES;81
DOROTHEA;81
LUCYNA;81
ALOJZIA;80
AMELIE;80
GRÉTA;79
KSENIA;79
LILI;79
ZOE;79
ZOYA;79
ANNA MARIA;78
ECATERINA;78
GERTRUD;78
HEIDI;78
IWONA;78
KATHARINA;78
MIRA;78
NADIA;78
NASŤA;78
OLUŠA;78
ONDŘEJKA;78
ROXANA;78
AMANDA;77
ILJA;77
SLÁVA;77
VLAĎKA;77
WALBURGA;77
ASTRID;76
NADIJA;76
VOLHA;76
BŘETISLAVA;75
CHI;75
JACQUELINE;75
MAYA;75
MELANIA;75
THEODORA;75
THI HIEN;75
YELENA;75
YVETTE;75
AMALIA;74
BERNADETA;74
FRIEDA;74
ŠTĚPÁNA;74
TETJANA;74
THI HUE;74
ALISA;73
IRÉNA;73
KARMEN;73
ĹUDMILA;73
NGUYET;73
OLUŠKA;73
ROSWITHA;73
ZORYANA;73
BLAŽENKA;72
DALIMILA;72
MARIOLA;72
ROSÁLIE;72
ROZA;72
ANIKA;71
BINH;71
HELENKA;71
LILIAN;71
THUY LINH;71
AIDA;70
BIBIÁNA;70
LIESELOTTE;70
MAHDALYNA;70
VALBURGA;70
ZLATKA;70
APOLONIE;69
BERNARDA;69
MIRJAM;69
NIKI;69
ELISABETA;68
THEA;68
XUAN;68
BOLESLAVA;67
DAJANA;67
DARIYA;67
THI HANG;67
THI HUYEN;67
ANZHELIKA;66
ELISA;66
ERNESTINA;66
MARIETA;66
PRAVOSLAVA;66
RÚT;66
SUSANNE;66
ADOLFÍNA;65
BIANCA;65
JASNĚNA;65
MARIAM;65
RAYISA;65
VESNA;65
VĚRKA;65
ANIELA;64
ARIANA;64
AURÉLIA;64
BRIGITTE;64
EDITHA;64
INGRIDA;64
JUTTA;64
MAHULENA;64
SVIATLANA;64
THI THANH;64
WLADYSLAWA;64
JENNY;63
JOVANA;63
KATUŠE;63
KIM;63
KVETA;63
LARISSA;63
NGAN;63
THI NGA;63
ZUZANKA;63
BABETA;62
EDELTRAUT;62
EVELYN;62
GIZELLA;62
JANETA;62
MOJMÍRA;62
THI HA;62
KLARA;61
LILIJA;61
YEVGENIYA;61
APOLONIA;60
EVGENIA;60
HEIDEMARIE;60
HENRYKA;60
KLOTILDA;60
MLADA;60
PRISKA;60
ILDIKÓ;59
OTILIA;59
RENATE;59
SIDONIE;59
TEODORA;59
VIKTORIIA;59
ANDRIANA;58
DOBRUŠKA;58
ETELKA;58
EVGENIYA;58
FELICITAS;58
LARA;58
MARION;58
MELINDA;58
MELISSA;58
NICOLLE;58
SÁŠA;58
SNIZHANA;58
FRANCESCA;57
INES;57
MARYLA;57
MONICA;57
SIMONE;57
THI HANH;57
THI HONG;57
THI LIEN;57
THI NHUNG;57
THI THU;57
THI THU HUONG;57
DARYA;56
ISABEL;56
MARYŠA;56
OLIVA;56
PHUONG ANH;56
SILVESTRA;56
THI THU HA;56
VALENTÍNA;56
CLARA;55
DITTA;55
EDDA;55
EUGENIA;55
ILLONA;55
LIVIE;55
MÁŠA;55
MÍLA;55
VILEMINA;55
JASMIN;54
LIDKA;54
MERCEDES;54
ROBERTA;54
SUZANA;54
ZDENIČKA;54
ANNE;53
GINA;53
GORDANA;53
ISOLDA;53
JEANNETTE;53
KRYSTÝNA;53
LISELOTTE;53
LÍDIA;53
NEURČENO;53
NICOLETTE;53
ORYSYA;53
RUDOLFINA;53
YWETA;53
ZLATOSLAVA;53
CINDY;52
DENISE;52
DOLORES;52
LIBUŠKA;52
LIVIA;52
PRIŠKA;52
SELMA;52
YELIZAVETA;52
CYRILA;51
DALILA;51
EDUARDA;51
KORNELIA;51
MARHARYTA;51
MILOTA;51
NITSA;51
STAŠA;51
VORŠILA;51
ANNE-MARIE;50
CATHERINE;50
DARIE;50
IRČA;50
IVUŠKA;50
KORNÉLIA;50
KRISTYNA;50
MONA;50
SINDY;50
ADELHEID;49
DRAGA;49
DUONG;49
GERTRAUD;49
NADIIA;49
RIANA;49
SANJA;49
SUSAN;49
TEA;49
THI DUNG;49
THI LOAN;49
THI MAI;49
THU HUONG;49
ADELHEIDA;48
BRENDA;48
CZESLAWA;48
KSENIYA;48
MIRIAMA;48
NADEZHDA;48
OLIVIA;48
PERLA;48
PĚVA;48
QUYNH ANH;48
TEKLA;48
THU TRANG;48
VIOLETTA;48
ALA;47
ALIONA;47
ESTHER;47
GUSTAVA;47
LJUBICA;47
ROZÁRIE;47
SABINE;47
SIEGLINDE;47
DRAGANA;46
GIULIA;46
HAFIYA;46
JEVGENIJA;46
LUJZA;46
NHAN;46
VASILIKI;46
DOROTEA;45
ĽUBOSLAVA;45
NADEJDA;45
NAOMI;45
NARCISA;45
NGOC ANH;45
QUYNH;45
ROSVITA;45
ALONA;44
ANASTASIJA;44
BEATRIX;44
BICH;44
EVŽENKA;44
GUDRUN;44
KIRA;44
OTYLIE;44
QUYEN;44
ULRIKA;44
YELYZAVETA;44
ZINAYIDA;44
BOHUŠKA;43
KATSIARYNA;43
LEONIE;43
MAŁGORZATA;43
RŮŽENKA;43
ZLATAVA;43
ŽANNA;43
BOHUŠE;42
DRAGICA;42
KAZIMÍRA;42
LE;42
LJILJANA;42
ĹUBICA;42
ĽUBA;42
OTÝLIE;42
PĚVUŠKA;42
PHUONG THAO;42
SERENA;42
TANJA;42
THI TUYET;42
THOA;42
THU HA;42
THUONG;42
VENUŠKA;42
ANJA;41
BĚTUŠKA;41
CELESTINA;41
DEBORAH;41
EVIČKA;41
JEANETTA;41
JEKATĚRINA;41
JOVANKA;41
KONSTANTINA;41
LEONKA;41
MELITA;41
RADVANA;41
SENTA;41
SIGRID;41
SUSANNA;41
ŠTEFÁNIE;41
THERESA;41
AJA;40
IRENE;40
JANA MARIE;40
JANET;40
LILA;40
LJUDMYLA;40
RACHEL;40
STEFANIYA;40
ŠIMONA;40
VARVARA;40
VINH;40
ARINA;39
ČESLAVA;39
DIEP;39
EDIT;39
EVELYNA;39
GABRIELLA;39
LEJLA;39
MARIE MAGDALENA;39
OTTILIE;39
SASKIE;39
SYLWIA;39
TÍMEA;39
WALTRAUT;39
WERONIKA;39
ARLETA;38
ČESTMÍRA;38
ELINA;38
HELMA;38
JASMINA;38
KARINE;38
KRISTIANA;38
MARLENA;38
MIROSLAWA;38
NADĚNKA;38
ROSINA;38
YWETTA;38
ABIGAIL;37
ANIČKA;37
ANNAMÁRIA;37
DANUŠA;37
DUYEN;37
IRINI;37
ISABELLE;37
JARKA;37
JENIČKA;37
KATEŘINA ANNA;37
LAILA;37
LEOKADIA;37
MARGARÉTA;37
MILENKA;37
NATALY;37
ROZINA;37
RUDOLFÍNA;37
TAŤJÁNA;37
THI THU HIEN;37
THI YEN;37
TONIČKA;37
AN;36
ANASTAZIA;36
ANHELINA;36
ERNESTÍNA;36
ERŽIKA;36
EUNIKA;36
EVA MARIE;36
IVÁNKA;36
MARTHA;36
PERLUŠKA;36
SCARLETT;36
TAMILA;36
THI THANH HUYEN;36
THI VAN;36
TU;36
VAN ANH;36
WALTRAUDA;36
ALBERTINA;35
ANŽELA;35
BOŽENKA;35
FLORENTINA;35
FRANZISKA;35
JELA;35
JELIZAVETA;35
LEONORA;35
LILLY;35
MALVINA;35
NADA;35
OTAKARA;35
THI OANH;35
THI THU HANG;35
UYEN;35
