text příjmení;četnost
VARTSABA;36
BERKELA;35
DONG;35
HRYS;35
LAKATOSH;35
MARTYNYUK;35
MIHALI;35
MOYSH;35
MYKHAYLO;35
SOROKA;35
TYVODAR;35
VOJTEK;35
VOVK;35
BENKO;34
DANG XUAN;34
DUMNYCH;34
DYACHUK;34
FEDORIV;34
KALYNYCH;34
KOLEV;34
KOTLÁR;34
KOVÁCS;34
LE VIET;34
MARINA;34
NGUYEN HAI;34
OLEKSIY;34
PRYYMAK;34
STETS;34
TRAN VIET;34
VINTONYAK;34
VOVCHOK;34
AHMED;33
BEŇO;33
BILOUS;33
FUCHS;33
KRÁLIK;33
LAI;33
LAKATOŠ;33
MARTIN;33
MAYER;33
MUCHA;33
PANKIV;33
PAVLOVIČ;33
RAK;33
RUSU;33
SAVLYAK;33
SHOVGENYUK;33
SHVETS;33
SIDEY;33
TSAP;33
WOLF;33
BALOGH;32
DROZD;32
FANTA;32
FEDORYSHYN;32
HORVAT;32
HRUZA;32
KLEIN;32
KOČIŠ;32
KRAUS;32
LAVRYSHYN;32
LETA;32
MALETA;32
MARKOVYCH;32
MASEC;32
MOROZOV;32
MOTRYNETS;32
MYKHAYLYSHYN;32
OSTASH;32
PALOK;32
PATSKAN;32
PAVLIV;32
VASYLYSHYN;32
BALAN;31
BONDAR;31
ČECH;31
ČUREJA;31
DANKANYCH;31
DERDA;31
HAMOR;31
KOSTYAK;31
KOVALČÍK;31
LENDEL;31
MADYAR;31
MYKHAYLYUK;31
NAZAROV;31
NEMEC;31
NGUYEN TRUONG;31
ORLOV;31
POPA;31
PROKOP;31
RETIZNYK;31
SCHMID;31
SLOBODYAN;31
SOKOL;31
TKÁČ;31
TURYANYTSYA;31
VU THANH;31
DANCH;30
DAO VAN;30
DOAN VAN;30
DYKUN;30
FALES;30
FROLOV;30
GRIGORYAN;30
HOFFMANN;30
HUSÁR;30
IVASYUK;30
JÁNOŠÍK;30
JIANG;30
KHYMYNETS;30
KISH;30
KONOVSHIY;30
KOWALSKI;30
LU;30
MARUSHCHAK;30
MYKULIN;30
NIKITIN;30
NOSA;30
ROMANIV;30
ROMANYSHYN;30
RUDENKO;30
STANKO;30
STEPANOV;30
ŠEVČÍK;30
TOMKO;30
TRAN DUY;30
TRUONG VAN;30
VAŠKO;30
VATRALA;30
VRÁBEL;30
DEMKIV;29
JIN;29
JOHNSON;29
KHUDA;29
KOBAL;29
KOVTUN;29
KOZURAK;29
KRUPA;29
KUZAN;29
LE NGOC;29
LYSENKO;29
PETRÍK;29
POPOVIČ;29
POTSKO;29
SAVKA;29
STAN;29
STRYZHAK;29
ŠVEC;29
THAI;29
TRINH VAN;29
TSOKA;29
VESELÝ;29
BOCHKOR;28
